year;population;births;deaths;immigrants;emigrants;salary_avg;salary_index;export;gdp;import
2015;42759661;411781;570944;3026;10507;4207,33;99,43;2,38447E+12;4,88867E+12;1,59601E+12
2016;42590879;397037;558733;1291;4378;5187,33;100,9;2,34113E+12;5,008E+12;1,74445E+12
2017;42414905;363987;549356;2012;6368;7105,42;101,62;2,433E+12;5,12619E+12;1,96995E+12
2018;42216766;335874;560705;3175;10764;8867,33;100,97;2,40006E+12;5,30501E+12;2,02478E+12
2019;41983564;308817;554947;3547;12329;10503,75;101,12;2,57526E+12;5,47475E+12;2,14111E+12
2020;41732779;293457;593581;2967;5161;11596,58;101,1;2,42563E+12;5,26929E+12;2,00509E+12
2021;41418717;271983;688209;4295;7519;14017,83;101,24;2,21786E+12;5,45085E+12;2,28988E+12
2022;40997698;;;;;14577,00;82,5;1,28534E+12;3,88326E+12;1,89105E+12
